,territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,area,codice_istat
64,Provincia Autonoma di Bolzano/Bozen,2022,11.5,464.0,8.4,1.7,74.0,23.6,0.6,4.3,0.7415825742926693,12.23471246422066,15.0,2.6,47.7,41.5,12.9,55.0,69.7,9.4,22.9,48043.785663169736,71.2,68.9,30.0,8.9,13.8570035946662,22.9,19.1,68.8,53.84615384615385,25.7,Nord-est,21
65,Provincia Autonoma di Trento,2018,14.90391433658297,514.0,5.2,2.2,74.0,25.7,0.4,10.3,0.12114905028230757,27.21704198613398,15.0,2.36,27.1,25.4,6.8,44.8,70.3,42.6,21.7,38550.73695467944,69.8,65.8,47.8,13.0,12.5550705617883,21.7,35.4,84.7,44.4,25.7,Nord-est,22
66,Provincia Autonoma di Trento,2019,13.66666666666667,519.0,3.6,1.4,73.1,27.8,0.6,9.7,0.3607998210432888,17.507440397386066,16.0,2.44,27.9,24.9,6.7,45.4,69.8,45.8,21.8,39492.69973374954,69.2,61.4,44.9,12.9,12.6924823423718,21.8,43.3,80.5,44.4,25.7,Nord-est,22
67,Provincia Autonoma di Trento,2020,13.66666666666667,486.0,4.4,1.1,74.1,27.8,0.2,4.2,0.3659571976461633,11.665317945889667,18.5,2.37,27.9,24.9,7.8,39.0,70.1,38.7,22.0,37120.10198234645,69.7,65.2,41.3,11.7,12.2558427518686,22.0,40.0,82.3,44.4,25.7,Nord-est,22
68,Provincia Autonoma di Trento,2021,13.66666666666667,486.0,3.0,1.6,74.7,27.8,0.2,3.5,0.36322294987886516,12.23471246422066,18.5,2.37,32.0,31.2,8.8,39.0,70.4,12.0,22.3,39947.36935376662,66.1,63.6,41.5,15.1,11.6534918713745,22.3,40.0,79.8,44.4,25.7,Nord-est,22
69,Provincia Autonoma di Trento,2022,13.66666666666667,486.0,3.0,1.6,74.7,27.8,0.2,3.5,0.36322294987886516,12.23471246422066,18.5,2.37,32.4,30.6,8.8,39.0,70.4,12.0,22.3,39947.36935376662,66.1,63.6,41.5,15.1,11.6534918713745,22.3,40.0,79.8,53.84615384615385,25.7,Nord-est,22
70,Puglia,2018,13.88568386561016,476.0,5.9,11.0,55.0,13.0,0.8,10.6,0.15990395528829565,42.13243754140284,29.2,2.76,38.3,45.1,17.6,7.4,50.3,26.6,26.3,18818.142137054314,66.0,56.2,30.0,5.6,25.6120402683783,26.3,19.1,75.2,41.3,9.8,Sud,16
71,Puglia,2019,12.40740740740741,472.0,6.1,7.8,55.3,18.0,0.7,8.7,0.1473854919125896,37.24031137784073,31.2,2.83,38.3,44.7,17.8,8.2,51.4,30.5,26.3,19128.302809756835,66.6,56.3,26.0,6.1,26.7645416938715,26.3,26.8,75.9,41.3,9.8,Sud,16
72,Puglia,2020,12.40740740740741,469.0,6.0,7.6,57.8,18.0,0.6,6.7,0.049430462214366075,35.602636549799115,33.8,2.76,38.3,44.7,18.5,6.1,51.4,23.2,26.2,18035.911913528595,67.4,60.7,25.0,5.6,26.5651028167067,26.2,29.6,69.6,41.3,13.7,Sud,16
73,Puglia,2021,12.40740740740741,469.0,5.2,7.1,61.7,18.0,0.6,5.6,0.39704745585638795,31.210953418451005,33.8,2.76,42.0,49.3,17.6,6.1,51.7,5.0,26.4,19426.81064199165,66.2,58.8,27.9,7.4,25.9591444193577,26.4,29.6,64.5,41.3,13.7,Sud,16
74,Puglia,2022,12.40740740740741,469.0,5.2,7.1,61.7,18.0,0.6,5.6,0.39704745585638795,31.210953418451005,33.8,2.76,42.5,50.3,17.6,6.1,51.7,5.0,26.4,19426.81064199165,66.2,58.8,27.9,7.4,25.9591444193577,26.4,29.6,64.5,25.0,13.7,Sud,16
75,Sardegna,2018,10.2087107960955,461.0,9.2,17.6,66.8,20.8,0.7,6.0,0.3175615717154259,45.81308870218028,20.7,3.41,39.9,51.3,22.8,28.0,51.6,30.1,25.7,21139.329296077707,67.8,56.2,26.9,9.3,15.3151073119968,25.7,35.9,78.6,28.0,6.7,Isole,20
